mode,component,tp,fp,fn,precision,recall,f1
strict,tables,4,1,1,0.8,0.8,0.8000000000000002
strict,attributes,12,3,3,0.8,0.8,0.8000000000000002
strict,primary_keys,4,1,1,0.8,0.8,0.8000000000000002
strict,foreign_keys,2,2,2,0.5,0.5,0.5
strict,relationship_tables,0,1,1,0.0,0.0,0.0
strict,specialization_mappings,0,0,0,,,
strict,global,22,8,8,0.7333333333333333,0.7333333333333333,0.7333333333333333
matched,tables,5,0,0,1.0,1.0,1.0
matched,attributes,15,0,0,1.0,1.0,1.0
matched,primary_keys,5,0,0,1.0,1.0,1.0
matched,foreign_keys,4,0,0,1.0,1.0,1.0
matched,relationship_tables,1,0,0,1.0,1.0,1.0
matched,specialization_mappings,0,0,0,,,
matched,global,30,0,0,1.0,1.0,1.0
alternative_aware,tables,5,0,0,1.0,1.0,1.0
alternative_aware,attributes,15,0,0,1.0,1.0,1.0
alternative_aware,primary_keys,5,0,0,1.0,1.0,1.0
alternative_aware,foreign_keys,4,0,0,1.0,1.0,1.0
alternative_aware,relationship_tables,1,0,0,1.0,1.0,1.0
alternative_aware,specialization_mappings,0,0,0,,,
alternative_aware,global,30,0,0,1.0,1.0,1.0
